Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,MSMS match,RT match?,Comments,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,Blank 1,Blank 2,Blank 3,Blank 3,Blank 4,Blank 5,Blank 6,Blank 7,Blank 8,ISTDs Mix 1,ISTDs Mix 1,QC 1,QC 2,QC 3,QC 4,Sample 1,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,1,1,average blank,average ext. blank,average sample,blank sub,ext blank sub
579,9.232,144.10132,w/o MS2:(2R)-6-methylpiperidine-2-carboxylic acid,[M+H]+,,,,,0.067,TRUE,2.49,144.10001,C7H13NO2,L-alpha-amino acids,IHLDCUQUFBWSJU-PRJDIBJQSA-N,O=C(O)C1NC(C)CCC1,530,TRUE,TRUE,FALSE,,FALSE,FALSE,null,null,80,99.8,null,null,null,241.7,Sample 14,144.10132:9744 145.10467:854 146.10803:22,40.96932:1318 41.03832:46 42.03388:1248 43.01824:286 43.02852:5 43.04137:129 43.05359:14 44.04975:260 46.0583:9 46.06627:76 51.02161:18 53.03665:70 54.98607:8 55.01658:8 55.05364:115 56.04875:206 56.96402:91 57.03279:22 57.05721:43 57.88446:4 57.9344:421 58.0657:2923 58.68089:5 58.94231:182 59.0484:33 60.04769:4 61.92643:4 65.03873:5 67.0407:5 67.05515:4 68.04944:55 69.05675:23 70.0649:63 71.04815:42 71.0721:53 72.0815:132 74.06009:30 77.03479:3 81.03337:12 81.95923:8 82.0648:54 83.04649:16 84.04391:6 84.08073:1579 84.94342:5 84.95877:466 85.93941:12 88.07655:4 97.98989:9 98.09756:73 98.96196:83 99.0448:23 99.9682:11 102.05532:182 102.92701:5 115.05397:7 116.10497:5 126.08676:5 126.96824:51 126.99363:3 128.04781:9 128.06998:24 129.05737:4 129.07852:5 143.07158:5 143.64629:5 144.10217:4897,62,28,49,54,31,28,38,37,40,33,52,941,1151,242,1154,339,328,230,399,155,9744,84,569,29,293,1178,406,1102,223,208,640.9479167,1761.379915,40.77777778,339,1019.133333,24.99237057,3.006293019
2289,1.406,271.11646,w/o MS2:7-prenyl-theophylline,[M+H]+,,,,ion correlated with 6473; ion correlated with 6640; ion correlated with 7296; ion correlated with 5129; ion correlated with 7069; ion correlated with 6744; ion correlated with 6695; ion correlated with 4804; ion correlated with 4479; ion correlated with 7137; ion correlated with 5630; ion correlated with 2318; ion correlated with 5487; ion correlated with 7664; ion correlated with 7374; ion correlated with 6517; ion correlated with 7343; ion correlated with 5914; ion correlated with 4783; ion correlated with 4047; ion correlated with 1467; ion correlated with 1884; ion correlated with 1845; ion correlated with 6793; ion correlated with 6147; ion correlated with 2293; ion correlated with 1626; ion correlated with 2322; ion correlated with 3387; ion correlated with 2685; ion correlated with 2966; ion correlated with 6425; ion correlated with 1686; ion correlated with 6188; ion correlated with 1254; ion correlated with 2017; ion correlated with 4854; ion correlated with 1490; ion correlated with 1911; ion correlated with 4425; ion correlated with 1423; ion correlated with 1804; ion correlated with 3337; ion correlated with 2962; ion correlated with 5874; ion correlated with 2252; ion correlated with 2403; ion correlated with 4104; ion correlated with 5167; ion correlated with 3675; ion correlated with 2209; found in higher mz's MsMs_4328,0.167,FALSE,4.13,271.12,C12H16N4O2,Xanthines,JHQSOHPXNWCALX-UHFFFAOYSA-N,O=C1C2=C(N=CN2CC=C(C)C)N(C(=O)N1C)C,530,TRUE,TRUE,FALSE,,FALSE,FALSE,null,null,93.9,100,null,null,null,42.71,QC 2,271.11646:5488 272.11981:1776 273.12317:9527,,389,449,474,294,272,309,321,510,299,342,338,4234,5488,1982,4600,1231,3207,3845,2255,2908,6808,2578,969,928,4722,5187,6852,4792,4909,4578,2535.689583,2203.819512,368.5555556,1231,3717.933333,10.08785047,3.020254536
2104,1.072,263.12711,w/o MS2:NCGC00380077-01!2-hydroxy-4-(hydroxymethyl)-6-(1-hydroxy-3-methylbut-2-enyl)-3-[(E)-prop-1-enyl]-7-oxabicyclo[4.1.0]hept-3-en-5-one,[M+H]+,,,,ion correlated with 12679; ion correlated with 5966; ion correlated with 7259; ion correlated with 8379; ion correlated with 12849; ion correlated with 10098; ion correlated with 10806; ion correlated with 10446; ion correlated with 10650; ion correlated with 10972; ion correlated with 8537; ion correlated with 9533; ion correlated with 9757; ion correlated with 10811; ion correlated with 9336; ion correlated with 10452; ion correlated with 10219; ion correlated with 10524; ion correlated with 8291; ion correlated with 9277; ion correlated with 8756; ion correlated with 9414; ion correlated with 3209; ion correlated with 5373; ion correlated with 5872; ion correlated with 8435; ion correlated with 10060; ion correlated with 10702; ion correlated with 5518; ion correlated with 2216; ion correlated with 3588; ion correlated with 10596; ion correlated with 10779; ion correlated with 10532; ion correlated with 10943; ion correlated with 10889; ion correlated with 5280; ion correlated with 8318; ion correlated with 4794; ion correlated with 8542; ion correlated with 4702; adduct linked to 8733_[2M+Na]+,0.067,FALSE,null,263.12701,C15H20O5,Cyclohexenones,FSYVGCMCWALMCX-SNAWJCMRSA-N,O=C1C(=C(C=CC)C(O)C2OC12C(O)C=C(C)C)CO,530,TRUE,TRUE,FALSE,,FALSE,FALSE,null,null,100,null,null,null,null,93.55,QC 3,263.12711:10071 264.13046:2287 265.13382:0,,172,146,192,156,144,174,238,155,201,156,226,299,270,10071,301,192,5009,276,296,258,268,245,193,116,302,207,419,314,251,381,721.0333333,1970.409472,175.3333333,192,581.8,3.318250951,3.030208333
8328,1.416,525.32062,w/o MS2:Medicagenic acid,[M+NH4]+,,,,ion correlated with 8385; ion correlated with 8437; ion correlated with 6951; ion correlated with 7951; ion correlated with 7984; ion correlated with 8149; ion correlated with 8977; ion correlated with 9020; adduct linked to 7992_[M+H]+,0.067,FALSE,8.69,525.32001,C30H46O6,Triterpenoids,IDGXIXSKISLYAC-UHFFFAOYSA-N,O=C(O)C12CCC(C)(C)CC2C3=CCC4C5(C)CC(O)C(O)C(C(=O)O)(C)C5CCC4(C)C3(C)CC1,530,TRUE,TRUE,FALSE,,FALSE,FALSE,null,null,99.8,99.7,null,null,null,136.02,Sample 5,525.32062:2294 526.32397:2287 527.32733:4797,,98,73,55,73,76,97,75,52,65,88,99,1099,683,84,771,146,68,189,304,172,538,227,143,163,525,2294,798,420,322,365,338.7770833,457.2819876,73.77777778,146,444.9333333,6.030722892,3.047488584
7701,0.981,493.27832,w/o MS2:C28H36N4O4; PlaSMA ID-2644,[M+Na]+,,,,ion correlated with 6797; ion correlated with 7603; adduct linked to 7603_[M+NH4]+,0.033,FALSE,3.52,493.28091,C28H36N4O4,Formula predicted,,,530,TRUE,TRUE,FALSE,,FALSE,FALSE,null,null,96.7,100,null,null,null,42.46,Sample 13,493.27832:1347 494.28167:511 495.28503:157,,59,40,45,34,25,42,17,53,61,60,28,342,344,111,281,75,67,113,439,1347,129,216,113,131,202,246,98,114,77,96,166.75,247.4048973,41.77777778,75,230.8666667,5.52606383,3.078222222
7028,1.406,459.27274,w/o MS2:Prednisolone_Tebutate; LC-ESI-QTOF; MS2; CE,[M+H]+,,,,ion correlated with 6698; ion correlated with 7579; ion correlated with 7896; ion correlated with 7853; ion correlated with 7539; ion correlated with 6350; ion correlated with 7819; ion correlated with 2108; ion correlated with 5674; ion correlated with 8140; ion correlated with 1494; ion correlated with 1425; ion correlated with 7626; ion correlated with 5633; ion correlated with 4973; ion correlated with 7261; ion correlated with 6745; ion correlated with 7297; ion correlated with 8476; ion correlated with 6427; ion correlated with 5169; ion correlated with 5406; ion correlated with 7071; ion correlated with 7895; ion correlated with 5227; ion correlated with 6053; ion correlated with 1712; ion correlated with 5330; ion correlated with 8174; ion correlated with 1628; ion correlated with 1599; ion correlated with 5733; ion correlated with 7344; ion correlated with 6641; ion correlated with 1241; ion correlated with 3341; ion correlated with 3116; ion correlated with 6971; ion correlated with 5568; ion correlated with 2646; ion correlated with 5019; ion correlated with 3553; ion correlated with 2295; ion correlated with 4480; ion correlated with 1912; adduct linked to 7358_[M+NH4]+; found in higher mz's MsMs_10498; found in higher mz's MsMs_10318,0.1,TRUE,null,459.27411,C27H38O6,"Gluco/mineralocorticoids, progestogins and derivatives",HUMXXHTVHHLNRO-UHFFFAOYNA-N,CC(C)(C)CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC12C,530,TRUE,TRUE,FALSE,,FALSE,FALSE,null,null,99.1,null,null,null,null,111.68,Sample 5,459.27274:8312 460.27609:4651 461.27945:8992,,615,749,634,574,614,588,779,863,641,185,264,3909,3970,718,4220,859,474,1687,1719,1843,4033,1478,876,492,3592,8312,6857,2420,2526,2712,1973.29375,1991.43633,673,859,2658.666667,3.95047053,3.095071789
935,1.398,179.1069,w/o MS2:MLS001065600-01!,[M+H]+,,,,found in higher mz's MsMs_1660; found in higher mz's MsMs_2102; found in higher mz's MsMs_4621; found in higher mz's MsMs_3213; found in higher mz's MsMs_3289; found in higher mz's MsMs_4729; found in higher mz's MsMs_2252; found in higher mz's MsMs_1911; found in higher mz's MsMs_2681; found in higher mz's MsMs_1936,0.1,FALSE,null,179.10699,C11H14O2,,,O(c1ccc(cc1OC)CC=C)C,530,TRUE,TRUE,FALSE,,FALSE,FALSE,null,null,100,null,null,null,null,76.09,Sample 6,179.1069:6175 180.11025:207 181.11361:6378,,508,520,696,327,443,508,320,468,358,3499,3362,4040,3864,1494,3395,932,1927,2249,1116,2538,5118,1294,921,674,3574,7020,6175,4008,3046,2934,2244.30625,1857.990747,460.8888889,932,2901.733333,6.295949855,3.113447783
3975,1.395,338.20575,"w/o MS2:(2E,4E)-N-[2-(4-hydroxyphenyl)ethyl]dodeca-2,4-dienamide",[M+H]+,,,,ion correlated with 8632; ion correlated with 272; ion correlated with 5782; ion correlated with 6893; ion correlated with 8921; ion correlated with 8574; ion correlated with 2659; ion correlated with 460; ion correlated with 2603; ion correlated with 4687; ion correlated with 6532; ion correlated with 2933; ion correlated with 6586; ion correlated with 6754; ion correlated with 3769; ion correlated with 6439; ion correlated with 5132; ion correlated with 8059; ion correlated with 587; ion correlated with 4649; ion correlated with 8378; ion correlated with 3601; ion correlated with 2837; ion correlated with 7389; ion correlated with 235; ion correlated with 4585; ion correlated with 3177; ion correlated with 1212; ion correlated with 5601; ion correlated with 883; ion correlated with 8734; ion correlated with 1039; ion correlated with 2990; ion correlated with 8012; ion correlated with 1977; ion correlated with 3467; ion correlated with 1939; ion correlated with 1363; ion correlated with 4127; ion correlated with 5520; ion correlated with 6160; ion correlated with 4890,0.067,FALSE,null,338.20905,C20H29NO2,1-hydroxy-2-unsubstituted benzenoids,VVRNYAJXAUQHEN-BNFZFUHLSA-N,OC(=NCCC1=CC=C(O)C=C1)C=CC=CCCCCCCC,530,TRUE,TRUE,FALSE,,FALSE,FALSE,null,null,94.7,null,null,null,null,49.14,Sample 9,338.20575:1655 339.2091:3233 340.21246:3147,,168,169,93,79,108,102,101,84,100,98,60,2280,2357,466,1829,480,767,1052,712,1101,2830,1537,229,102,1835,3877,2736,1952,1645,1655,1020.15,1057.816515,111.5555556,480,1500.666667,13.45219124,3.126388889
1181,1.41,199.09435,w/o MS2:5-(4-methyl-5-oxo-2H-furan-3-yl)pentanoic acid,[M+H]+,,,,ion correlated with 172; ion correlated with 898; ion correlated with 1145; found in higher mz's MsMs_2102; found in higher mz's MsMs_4161; found in higher mz's MsMs_3552; found in higher mz's MsMs_4686; found in higher mz's MsMs_4621; found in higher mz's MsMs_5055; found in higher mz's MsMs_3582; found in higher mz's MsMs_3548; found in higher mz's MsMs_3213; found in higher mz's MsMs_3289; found in higher mz's MsMs_4729; found in higher mz's MsMs_2448; found in higher mz's MsMs_3911; found in higher mz's MsMs_4307; found in higher mz's MsMs_3967; adduct linked to 5940_[2M+NH4]+; found in higher mz's MsMs_4066; found in higher mz's MsMs_2681; found in higher mz's MsMs_7539; found in higher mz's MsMs_5775; found in higher mz's MsMs_4669; found in higher mz's MsMs_4422; found in higher mz's MsMs_4349; found in higher mz's MsMs_4208; found in higher mz's MsMs_3962; found in higher mz's MsMs_3860; found in higher mz's MsMs_2046,0.233,TRUE,null,199.09648,C10H14O4,Medium-chain fatty acids,CGUVFWCRUYAIOJ-UHFFFAOYSA-N,O=C1OCC(=C1C)CCCCC(=O)O,530,TRUE,TRUE,FALSE,,FALSE,FALSE,null,null,97.7,null,null,null,null,17.66,Sample 14,199.09435:2864 200.0977:723 201.10106:4528,,268,321,205,153,227,201,152,221,131,441,392,1486,1480,408,2244,402,935,1400,421,672,2864,309,316,252,1552,2510,2732,1791,1650,1049,906.1833333,851.4944937,208.7777778,402,1257,6.020755721,3.126865672
9742,1.312,607.24634,w/o MS2:OUABAIN,[2M+Na]+,,,,adduct linked to 2819_[M+H]+,0.033,FALSE,null,607.24847,C29H44O12,Cardenolide glycosides and derivatives,LPMXVESGRSUGHW-HBYQJFLCSA-N,O=C1OCC(=C1)C2CCC3(O)C4CCC5(O)CC(OC6OC(C)C(O)C(O)C6O)CC(O)C5(CO)C4C(O)CC23C,530,TRUE,TRUE,FALSE,,FALSE,FALSE,null,null,97.7,null,null,null,null,186.71,Sample 10,607.24634:2196 608.24969:2256 609.25305:5717,,85,705,9,53,99,637,6,3,3,0,7,551,568,1466,161,177,2196,453,906,232,447,348,7,0,659,432,610,420,772,677,422.9854167,485.38988,177.7777778,177,555.7333333,3.126,3.139736347
