Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,MSMS match,RT match?,comments,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,Blank 1,Blank 2,Blank 3,Blank 3,Blank 4,Blank 5,Blank 6,Blank 7,Blank 8,ISTDs Mix 1,ISTDs Mix 1,QC 1,QC 2,QC 3,QC 4,Sample 1,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,1,1,average blank,average ext. blank,average sample,blank sub,ext blank sub
7080,13.808,512.29797,Unknown,[M-H]-,,,,ion correlated with 6846; ion correlated with 7561,0.033,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,85.71,Sample 3_Woodburn,512.29797:2219 513.30132:1391 514.30468:658,61.98915:11 111.24724:5 308.90906:9 332.01114:10 376.91681:12 435.28152:10 444.86447:20 444.90787:13 466.13281:10 466.18146:18 466.26605:34 466.29355:14 468.14813:11 469.57758:5 476.17383:10 489.04504:10 489.12735:10 489.54333:10 490.10913:9 490.52988:11 492.04086:10 493.87192:10 494.83011:8 511.83752:10 511.95276:13 511.98602:36 512.04364:36 512.05469:25 512.0946:38 512.11902:47 512.13672:30 512.18768:36 512.21429:67 512.23425:122 512.25867:245 512.29852:1499 512.33179:63 512.56238:10 512.60895:20 512.65112:59 512.67328:33 512.69104:19 512.7132:29 512.77527:13,6,0,0,0,0,0,0,0,6,0,6,172,211,321,319,73,178,83,31,7,6,38,263,2219,77,31,52,17,207,6,144.1916667,404.5818946,1.333333333,73,219.2,164.4,3.002739726
3104,10.164,309.0549,Unknown,[M-H]-,,,,,0.033,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,27.06,Sample 8_Beaverton,309.0549:4813 310.05825:1169 311.06161:3198,44.99814:75 81.93074:20 129.05606:20 173.00739:20 174.96983:20 178.94893:28 183.1172:20 194.91591:21 198.3564:21 204.98958:91 209.1544:70 213.1523:21 219.19182:21 221.09119:35 221.19897:21 224.99385:107 225.01881:21 228.98993:21 237.08008:45 237.14493:21 240.90942:53 240.94894:45 240.97479:21 241.13904:25 241.77521:21 244.15382:443 244.99936:136 245.03615:28 247.09648:41 247.17502:21 248.97997:31 262.50253:185 263.16788:63 264.96161:30 265.08279:110 265.17691:46 265.19922:21 268.98489:48 269.0058:56 269.04276:21 273.05469:37 273.0903:52 277.1795:140 289.00299:79 291.01627:44 291.15997:62 308.81796:90 308.94879:151 309.01593:304 309.05725:3440 309.09686:456 309.16229:333 309.19501:139,33,21,5,46,28,5,44,21,49,33,12,688,655,755,860,205,173,305,1568,116,47,33,1188,94,163,112,212,176,4813,29,416.2208333,916.6927885,28,205,615.6,21.98571429,3.002926829
4047,3.652,343.08231,w/o MS2:Usnic acid,[M-H]-,,,,,0.033,FALSE,10.751,343.08231,C18H16O7,Acetophenones,CUCUKLJLRRAKFN-UHFFFAOYSA-N,CC1=C(C(=C2C(=C1O)C3(C(=CC(=O)C(C3=O)C(=O)C)O2)C)C(=O)C)O,530,TRUE,TRUE,FALSE,,FALSE,FALSE,null,null,100,99.7,null,null,null,31.5,Sample 6_Brownsville,343.08231:4372 344.08566:3506 345.08902:1037,,7,5,5,5,5,0,5,0,0,5,0,138,184,189,222,146,328,224,162,86,5,16,590,105,122,76,4372,136,205,5,244.9416667,790.2360937,3.555555556,146,438.5333333,123.3375,3.003652968
3425,11.846,321.13263,"w/o MS2:4,6-dihydroxy-3-(3-hydroxy-2,5-dimethylphenoxy)-5-methoxy-2,5-dimethylcyclohex-2-en-1-one",[M-H]-,,,,,0.033,TRUE,2.497,321.1344,C17H22O6,p-Xylenols,BYGXUUOADNRIED-UHFFFAOYSA-N,O=C1C(=C(OC2=CC(=CC(O)=C2C)C)C(O)C(OC)(C)C1O)C,530,TRUE,TRUE,FALSE,,FALSE,FALSE,null,null,98.4,99.6,null,null,null,34.8,Sample 13_Ellmaker,321.13263:5008 322.13598:964 323.13934:672,43.00055:5 61.98709:10 112.98385:10 116.92808:28 127.1112:19 130.96182:6 134.0363:14 147.00781:12 150.0313:22 165.01846:95 174.94731:10 174.9538:112 178.02591:18 184.89708:10 184.91838:16 184.95168:18 184.99963:12 189.0569:13 190.99712:21 192.99484:8 202.9901:10 206.95993:21 212.99605:18 220.94809:14 228.11888:8 231.13628:10 233.15392:116 234.93404:26 236.9968:22 246.88683:21 249.15123:74 252.88953:28 252.91289:33 252.94405:56 252.98923:13 253.08582:14 253.14503:14 257.00101:11 257.02612:12 258.98325:51 260.99527:16 261.0206:9 267.56006:10 270.86258:16 274.91888:40 274.95139:34 274.96924:13 275.1268:33 275.16742:22 276.89398:42 276.92331:12 277.11893:15 277.14502:821 277.18091:17 277.20047:11 280.98682:31 281.00162:34 285.20233:11 288.87128:11 288.93454:16 292.91058:10 300.99173:42 301.00702:48 302.92178:39 302.94223:29 303.06329:17 320.07733:54 320.84354:45 320.8909:54 320.92599:35 320.9769:30 321.0155:24 321.10852:134 321.13486:4595 321.18048:37,119,62,56,76,88,39,43,58,59,94,33,697,678,523,817,198,246,303,342,5008,57,92,782,177,154,335,245,251,693,66,413.0354167,902.2444499,66.66666667,198,596.6,8.949,3.013131313
2849,8.128,299.09534,w/o MS2:C8-SPC,[M-H]-,,,,,0.067,TRUE,null,299.0965,C14H20O5S,Benzenesulfonic acids and derivatives,HVILKXNGNNFKQK-UHFFFAOYSA-N,OS(=O)(=O)c1ccc(cc1)C(CCC(=O)O)CCCC,530,TRUE,TRUE,FALSE,,FALSE,FALSE,null,null,74.5,null,null,null,null,45.1,Sample 11_Corvallis,299.09534:11641 300.09869:2113 301.10205:3711,44.99366:3 44.99826:22 57.67543:2 59.01309:7 72.99188:5 82.95905:5 99.04598:3 101.02186:4 101.06223:5 102.95463:3 102.96358:3 109.0264:3 112.97959:3 115.07451:3 119.94663:3 121.74258:3 125.05885:7 126.98412:4 128.92964:3 132.61795:3 133.91599:3 135.02567:3 137.058:4 139.07663:5 141.02277:4 141.05534:5 143.03281:5 144.96977:4 145.01224:5 147.00526:3 147.87465:3 151.11281:5 153.01752:5 154.99269:4 157.3575:4 159.06502:5 160.94075:3 163.00127:5 164.09352:3 165.09502:5 165.97588:3 166.99576:10 167.06918:6 167.64317:3 168.98758:5 170.98865:6 173.04272:5 175.03648:6 178.9731:6 178.9993:5 179.09105:3 180.96638:7 181.01382:9 181.04939:9 181.09026:5 182.98264:13 183.01575:6 183.06346:5 183.10057:5 184.01886:6 184.94743:12 185.082:9 186.12013:3 188.89641:3 191.10651:5 192.10028:3 193.12251:10 193.94824:3 194.98492:6 195.00545:6 195.02187:9 195.56937:3 197.00748:4 197.07623:5 197.11748:6 197.77397:3 198.9783:5 200.99779:5 202.95772:14 202.994:5 203.04982:5 204.50533:5 204.85844:3 207.14003:5 208.20004:4 208.98798:5 209.08144:5 209.15085:7 210.30972:4 210.9494:4 210.97643:6 211.02196:8 211.04187:10 211.06749:6 211.08171:9 211.11018:8 211.13437:5 211.91501:4 213.02003:6 213.11581:5 214.99449:16 215.02464:7 217.04298:5 217.08772:9 218.94754:7 218.98813:6 219.02:6 219.03885:6 219.06931:9 219.10265:11 219.13744:10 219.81363:5 220.06491:5 220.39195:4 221.07881:5 222.22058:3 222.97902:5 223.09604:7 224.88882:5 225.0901:5 225.15034:5 225.46645:3 227.01038:4 227.05318:6 227.1196:9 227.12993:8 227.16682:6 227.76659:3 229.00551:5 230.88881:4 230.93048:8 230.95428:43 230.99002:9 231.02426:6 231.06148:4 231.10167:21 232.91283:4 233.10869:3 234.93066:17 234.99823:18 235.01926:8 235.13338:9 236.22504:4 237.0869:6 237.11102:9 237.13516:6 237.15024:14 237.21059:3 237.93825:3 238.97581:7 238.99399:11 239.01367:14 239.09241:4 239.12724:18 240.11731:5 241.93748:5 243.98172:3 245.70129:3 247.94946:5 248.53279:3 250.99399:4 251.92123:3 252.89067:9 252.92027:24 252.94052:24 252.99348:7 253.01686:5 253.0714:7 253.09164:14 253.10722:13 253.14307:112 253.17735:15 253.87447:3 254.9321:15 254.96808:15 254.99153:5 255.00562:24 255.03845:16 255.06348:33 255.076:19 255.09946:22 255.1245:26 255.14014:28 255.15891:36 255.19646:8 256.03268:4 257.12778:5 258.31335:3 258.98441:10 259.00015:34 259.01907:15 259.04431:5 260.93631:5 261.05496:5 261.07397:6 261.09137:6 261.11353:13 261.14044:3 262.86377:6 262.93842:5 262.97336:10 262.98764:7 263.02576:8 263.05594:11 263.12585:37 263.57089:3 265.10602:3 266.91437:4 266.95917:6 267.08401:10 267.11923:19 267.79358:3 268.9328:4 269.87326:3 270.93143:5 272.29544:3 274.85184:3 275.27582:3 277.03531:6 278.94107:6 278.99179:16 279.0098:30 279.01962:14 279.0965:4 280.85175:5 280.93546:36 280.98962:9 281.13907:18 281.17355:10 282.96658:3 284.02701:5 285.6983:3 289.78543:3 298.06201:4 298.11783:9 298.16516:7 298.86407:7 298.8844:11 298.89795:7 298.99448:5 299.02496:6 299.05206:43 299.07916:164 299.0961:6051 299.13507:66 299.18759:6,135,121,89,50,80,32,62,51,50,84,30,2497,2096,2612,2717,684,1739,11641,5330,2078,86,194,2800,1603,913,454,1055,729,1372,274,1388.610417,2303.501952,74.44444444,684,2063.466667,27.71820896,3.016764133
4560,16.508,365.06421,Unknown,[M-H2O-H]-,,,,ion correlated with 5883; ion correlated with 6488; ion correlated with 5733; ion correlated with 5647; ion correlated with 7481; ion correlated with 8260; ion correlated with 4140; ion correlated with 7917; ion correlated with 7960; ion correlated with 8284; ion correlated with 1926; ion correlated with 5734; adduct linked to 5733_[M+Cl]-,0.033,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,32.62,Sample 3_Woodburn,365.06421:3758 366.06756:0 367.07092:400,,45,89,47,7,65,36,107,24,17,75,73,542,678,181,149,122,44,80,103,86,22,28,287,3758,302,22,361,109,137,62,255.2854167,679.630484,48.55555556,122,368.2,7.583066362,3.018032787
7116,5.372,514.99689,w/o MS2:Dicaffeoylquinic acid,[M-H]-,,,,ion correlated with 7140,0.067,FALSE,null,515,C25H24O12,Quinic acids and derivatives,IYXQRCXQQWUFQV-RDJMKVHDSA-N,O=C(OC1C(O)CC(OC(=O)C=CC2=CC=C(O)C(O)=C2)(C(=O)O)CC1O)C=CC3=CC=C(O)C(O)=C3,530,TRUE,TRUE,FALSE,,FALSE,FALSE,null,null,95.3,null,null,null,null,12.41,Sample 2_Philomath,514.99689:4080 516.00024:418 517.0036:4862,,6,6,6,6,6,6,8,10,6,12,6,645,588,617,1162,206,1890,522,410,110,7,22,4080,67,708,79,301,364,572,7,414.3791667,811.9886801,6.666666667,206,623,93.45,3.024271845
8088,13.676,645.49133,Unknown,[M-H]-,,,,,0.2,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,336.67,QC 1,645.48425:1431 646.4876:732 647.49096:35,95.86272:201 459.62238:22 509.87943:22 577.99219:27 599.18988:30 599.30261:28 600.06775:44 601.8277:22 625.04236:22 627.82721:22 645.00458:33 645.02197:45 645.05676:56 645.09662:81 645.16376:159 645.20605:109 645.22101:143 645.26331:170 645.30804:86 645.33295:135 645.36029:189 645.38519:138 645.41754:165 645.46234:126 645.49219:1170 645.52454:202 645.82568:77 645.89044:58,0,0,0,0,0,0,0,6,0,0,0,1431,1994,1772,2111,604,3604,85,220,0,0,0,22439,0,10,22,8,0,412,0,1157.220833,4112.736558,0.666666667,604,1826.933333,2740.4,3.024724062
8055,0.765,638.83264,Unknown,[M-H]-,,,,ion correlated with 7965; ion correlated with 7490; ion correlated with 7622; ion correlated with 8337; ion correlated with 5729,0.433,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,19.94,QC 3,638.82941:1230 639.83276:367 640.83612:615,108.93924:7 112.98246:57 129.9769:27 174.96748:7 180.97394:16 245.39238:7 248.96182:15 366.87115:10 373.91162:7 379.92429:11 418.88367:7 424.90698:12 434.86371:14 446.91513:11 486.87823:22 502.85532:81 502.88168:43 546.89441:7 554.8576:14 570.84198:86 570.88409:30 592.68878:13 592.72693:19 592.75079:35 592.78894:35 592.80322:39 592.85095:77 592.901:11 592.95587:14 606.81915:11 615.74762:14 615.85455:14 616.29944:14 620.75232:19 620.79871:23 620.86945:14 629.78479:15 638.72906:16 638.7439:20 638.76617:23 638.7934:51 638.83301:495 638.95679:18 639.01868:14 639.14001:12 639.21429:13 639.27374:35,6,6,6,26,27,14,21,15,36,8,29,1222,1129,1230,1364,516,1978,2593,5590,3597,83,52,1502,1357,643,1271,1314,765,1893,307,953.3,1260.781562,17.44444444,516,1564.066667,89.65987261,3.031136951
4699,12.991,370.12793,Unknown,[M-H]-,,,,ion correlated with 2946; ion correlated with 1441,0.033,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,37.58,Sample 3_Woodburn,370.12793:2244 371.13128:888 372.13464:206,,0,5,0,0,0,5,5,0,5,5,0,338,188,129,225,62,10,71,26,38,0,5,102,2244,50,69,55,8,76,5,124.2354167,407.9813173,2.222222222,62,188.0666667,84.63,3.033333333
