Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,MSMS match,RT match?,comments,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,Blank 1,Blank 2,Blank 3,Blank 3,Blank 4,Blank 5,Blank 6,Blank 7,Blank 8,ISTDs Mix 1,ISTDs Mix 1,QC 1,QC 2,QC 3,QC 4,Sample 1,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,1,1,average blank,average ext. blank,average sample,blank sub,ext blank sub
619,3.31,143.11888,w/o MS2:Unknown (carbon number 7); PlaSMA ID-166,[M+H]+,,,,ion correlated with 13723; ion correlated with 2282,0.033,FALSE,3.29,143.1189,C7H14N2O,Unknown,,,530,TRUE,TRUE,FALSE,,FALSE,FALSE,null,null,100,100,null,null,null,20.69,Sample 1_Newport,143.11888:1467 144.12223:29 145.12559:0,,5,7,5,5,5,5,5,15,9,6,25,46,35,82,87,1467,0,9,7,0,15,8,12,20,0,6,0,6,15,0,63.59166667,265.9909218,6.777777778,1467,104.3333333,15.39344262,0.0711202
6852,7.658,311.27066,Unknown,[M+H]+,,,,,0.033,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,18.65,Sample 1_Newport,311.27066:7480 312.27401:2268 313.27737:0,41.03884:155 42.03441:30 43.01814:194 43.05476:66 45.03287:12 53.03799:47 55.04847:150 55.05428:780 56.96393:68 57.03345:31 57.06896:54 58.07308:53 59.04832:23 65.03944:25 67.05267:103 69.02738:28 69.07215:165 71.04892:35 71.08607:30 77.03904:34 79.05187:81 81.07037:152 83.05092:23 83.07681:57 83.08485:246 85.02557:63 85.06441:20 87.04351:22 89.01857:10 91.05223:64 93.06823:93 95.03848:46 95.08528:79 96.08031:32 97.06218:31 97.09596:20 98.09561:41 100.11124:1686 103.05625:28 105.06874:102 107.08549:153 109.02831:17 109.05695:29 109.06718:38 109.09991:82 110.09978:40 111.08046:22 113.0934:37 115.04875:17 117.06856:62 117.13958:42 119.08562:83 121.06387:24 121.10268:60 123.04537:29 123.07906:43 123.11384:30 124.11144:35 125.05939:43 125.09554:39 127.03896:26 127.07098:21 128.06117:59 129.06969:71 130.07657:24 131.08511:139 133.06416:47 133.10146:73 134.06039:34 135.04326:25 135.08083:47 135.0979:35 137.05759:47 137.09543:35 139.07297:22 141.06932:81 142.0775:55 143.08107:39 144.09406:22 145.02567:22 145.06223:32 145.09999:159 146.05969:31 147.04514:21 147.07602:42 147.11522:32 148.08633:17 149.05823:49 149.09172:89 149.12761:58 151.07298:56 151.11151:22 152.06067:32 153.01643:34 153.05035:50 153.06854:32 155.0601:71 155.07718:52 155.0845:57 156.09865:41 157.09277:48 157.10138:71 158.07405:66 159.04604:27 159.08186:58 159.11646:40 161.05486:21 161.09215:56 161.13194:38 163.03625:19 163.10881:55 164.1438:12 165.02097:21 165.0562:37 165.08011:28 165.1292:22 166.15794:389 167.0316:17 167.08224:37 168.09293:32 169.08881:27 169.10283:51 170.10681:30 171.11888:80 171.85776:25 172.08899:22 173.06569:43 173.13142:97 175.10905:79 175.14925:15 176.13719:34 177.0862:42 177.13313:50 178.07697:57 179.0836:51 181.09618:39 183.03384:35 183.08685:35 183.11336:25 185.08041:18 185.09241:47 185.1124:28 185.14038:19 187.03922:31 187.10085:27 187.11023:60 187.12094:20 187.14909:36 189.02315:23 189.1282:17 190.05753:72 191.0365:19 191.08931:34 191.1394:35 192.09129:17 193.0959:33 193.1068:38 194.11133:40 194.15636:223 195.06374:30 195.11435:50 196.03218:28 197.06903:33 197.09378:50 197.13367:23 199.0376:29 199.07353:64 199.11638:35 201.05345:31 201.08957:27 201.13124:24 202.07562:22 205.06091:20 205.10019:63 205.11983:25 205.15912:22 207.03366:15 207.11824:30 209.01161:19 209.09659:39 209.13484:26 211.10995:18 211.14412:21 213.06863:35 214.13091:12 215.03778:40 215.10817:52 215.13834:100 215.14696:13 217.12422:22 219.0627:29 219.10619:16 219.59219:13 221.05783:32 221.08258:38 221.13503:31 223.07372:23 223.10005:22 223.1454:68 223.17467:39 224.08289:25 225.06053:20 229.02058:17 233.07799:25 233.1049:34 233.15276:25 234.09602:10 237.10614:19 237.13177:32 239.1059:20 241.03343:16 241.11708:21 243.06949:35 247.10725:29 247.16731:31 250.07568:14 251.03392:21 251.0898:15 251.12085:35 251.14258:29 251.17673:46 253.08211:18 253.12573:37 255.17302:10 257.14215:28 264.12717:17 265.12946:32 265.16135:34 265.18051:18 267.13657:34 269.16089:28 275.07819:29 275.12692:22 275.15131:33 279.06482:38 279.10736:35 279.1499:45 279.85901:10 283.17075:48 293.02496:100 293.10712:45 293.16415:29 293.19769:45 293.23627:103 293.25809:810 293.27823:54 311.10327:36 311.16721:33 311.17584:86 311.27087:660,111,85,67,40,77,22,57,51,66,46,40,548,448,232,515,7480,0,0,27,21,9,38,0,285,0,0,0,0,191,36,349.73125,1355.349392,64,7480,539.1333333,8.423958333,0.072076649
5756,6.146,293.95282,Unknown,[M+H]+,,,,ion correlated with 5914,0.033,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,14.74,Sample 1_Newport,293.95282:1538 294.95617:394 295.95953:2876,,43,25,70,69,43,30,33,55,28,71,56,138,131,103,115,1538,0,36,0,20,54,38,62,0,0,0,0,0,0,31,93.07083333,275.7573905,44,1538,118.6,2.695454545,0.077113134
5914,6.146,295.94803,Unknown,[M+H]+,,,,ion correlated with 5756,0.033,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,19.01,Sample 1_Newport,295.94803:1812 296.95138:0 297.95474:918,,46,51,58,51,56,32,51,33,32,55,57,57,94,71,0,1812,136,0,0,0,8,23,60,23,141,26,0,0,37,20,101.0125,325.1320804,45.55555556,1812,152.4,3.345365854,0.08410596
6414,12.469,304.08682,w/o MS2:305-03-3,[M+H]+,,,,ion correlated with 6521,0.033,TRUE,null,304.08801,C14H19Cl2NO2,,,O=C(O)CCCc1ccc(cc1)N(CCCl)CCCl,530,TRUE,TRUE,FALSE,,FALSE,FALSE,null,null,99.3,null,null,null,null,22.52,Sample 1_Newport,304.08682:3019 305.09017:1335 306.09353:2530,41.03947:217 43.05348:74 43.24974:10 46.06617:87 55.01795:25 55.05574:59 56.96541:22 57.06971:37 67.05508:26 69.07053:60 77.04163:10 81.07214:27 83.04736:32 85.05809:21 91.05411:40 93.06824:26 95.08911:38 96.0784:27 98.08591:22 98.09756:107 104.06107:10 105.07076:21 106.06817:40 107.0713:46 108.08629:18 109.09788:23 113.05591:44 124.99149:110 129.07191:15 131.06943:25 131.0784:24 132.08968:13 133.10599:27 134.09897:15 135.08083:14 135.9566:10 137.03122:10 138.12619:21 143.08459:23 144.07878:25 146.06088:25 146.0976:28 147.11047:16 148.08038:34 148.11732:27 149.09532:20 152.14162:16 155.09305:16 156.0901:29 157.08174:14 158.09747:41 159.10411:18 160.06808:34 160.1127:45 161.09589:20 162.05714:50 162.13821:37 163.06503:18 165.0235:12 165.06125:10 167.07339:18 168.08405:10 171.10352:28 172.08128:19 172.10956:35 172.11726:25 173.12241:15 174.09171:32 174.1292:31 176.0657:17 176.1398:40 178.08221:35 179.03513:10 182.03465:23 183.04976:31 184.11552:21 186.08928:19 186.10532:15 186.12669:122 187.11024:29 188.13803:21 189.04471:14 190.12236:39 192.10217:19 194.05266:12 196.89581:35 198.08932:27 199.09842:10 204.11238:47 204.13898:141 205.14369:36 208.08505:37 208.10342:57 209.08527:22 211.13844:10 212.233:30 214.12231:24 214.85541:10 216.10497:19 217.10837:57 218.11989:39 219.06271:27 220.08603:10 222.10916:20 224.11223:16 226.91156:10 228.91833:10 232.11441:78 232.1338:515 232.15918:38 233.14081:51 234.1485:56 235.91003:28 240.09906:48 240.11424:192 240.88292:14 240.95894:10 243.10159:18 250.10049:18 257.14532:17 258.15948:12 263.11246:10 268.08203:146 268.1109:413 269.10144:22 269.12073:62 271.94028:33 274.20483:16 276.09293:34 286.19037:16 288.0976:28 289.10437:33 289.10938:74 289.12436:12 304.08371:607 304.13153:134 304.1691:18 304.30066:67,45,5,21,16,5,16,41,47,42,5,25,178,299,193,271,3019,91,29,28,61,31,5,195,83,31,51,77,31,71,16,167.5520833,544.119917,26.44444444,3019,254.6,9.627731092,0.08433256
6521,12.469,306.08694,w/o MS2:MLS001401398-01!Sertraline,[M+H]+,,,,ion correlated with 6414,0.033,TRUE,null,306.08701,C17H18Cl3N,,,Cl.Clc1ccc(cc1Cl)C2c3ccccc3C(NC)CC2,530,TRUE,TRUE,FALSE,,FALSE,FALSE,null,null,100,null,null,null,null,14.12,Sample 1_Newport,306.08694:2238 307.09029:142 308.09365:373,41.03884:31 41.04261:13 43.05541:26 46.06484:90 51.94012:10 55.05356:40 56.96393:50 57.06823:33 67.05267:28 69.06971:56 71.09021:10 79.07887:10 81.07126:26 84.95784:31 90.00465:10 91.05318:66 93.06824:25 95.049:21 98.06458:22 98.09174:36 104.05907:10 105.06976:46 106.06817:25 107.08549:26 109.09686:42 117.06857:28 117.08765:10 120.08506:10 123.09972:24 125.99995:28 128.06119:16 130.06317:28 131.08736:17 134.09442:42 136.11769:27 138.12619:21 141.06934:22 143.08459:24 144.95609:15 145.10236:14 146.09404:18 147.10573:26 147.11761:42 149.05945:18 150.14134:10 155.08452:38 156.88292:23 157.06456:34 159.04974:59 159.10411:51 160.11023:38 161.09465:14 162.13072:20 165.87146:63 167.91518:25 170.0685:30 171.11633:36 172.11342:73 173.02318:19 173.0889:23 173.12112:15 174.03743:30 174.1279:18 175.07408:24 176.14371:52 176.1528:10 179.84737:23 182.05447:24 183.96271:16 185.06844:25 186.13338:42 187.00574:18 187.13838:10 188.14206:27 189.11745:33 190.11832:25 191.09203:10 193.88075:19 198.13206:20 204.0844:31 204.13898:125 205.14931:40 206.14386:16 208.09212:61 210.10066:32 210.87947:29 213.96468:26 214.12518:31 216.10497:20 217.1026:31 217.11125:47 218.10107:18 218.11989:29 221.13213:26 222.10625:18 224.09171:24 226.11545:19 228.89906:23 232.1338:237 233.1423:34 234.13651:34 238.88481:18 240.11424:53 241.8828:17 242.08394:19 242.10832:55 243.98669:10 256.09082:14 258.1532:10 266.54135:10 268.11252:99 269.12717:44 270.10349:72 271.12189:64 273.99078:16 288.20068:29 306.06839:54 306.08209:509 306.11295:39 306.23123:21,79,25,44,24,4,34,52,13,53,51,33,161,87,68,245,2238,89,83,27,59,18,56,38,94,78,72,98,50,18,64,135.1208333,399.9200637,36.44444444,2238,205.4666667,5.637804878,0.091808162
4432,7.385,270.9751,"w/o MS2:Pesticide3_Diuron_C9H10Cl2N2O_3-(3,4-Dichlorophenyl)-1,1-dimethylurea",[M+H]+,,,,ion correlated with 4340,0.033,FALSE,null,270.98001,C9H10Cl2N2O,N-phenylureas,XMTQQYYKAHVGBJ-UHFFFAOYSA-N,ClC1=CC=C(N=C(O)N(C)C)C=C1Cl,530,TRUE,TRUE,FALSE,,FALSE,FALSE,null,null,88.6,null,null,null,null,11.78,Sample 1_Newport,270.9751:1567 271.97845:495 272.98181:0,,60,94,79,124,63,126,170,154,110,90,100,0,0,61,72,1567,0,48,0,0,101,129,0,0,75,43,41,26,32,109,115.8145833,278.60376,108.8888889,1567,144.7333333,1.329183673,0.092363327
3511,13.502,250.21515,Unknown,[M+H]+,,,,,0.033,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,8.58,Sample 1_Newport,250.21515:1627 251.2185:435 252.22186:53,,34,21,7,9,7,38,8,10,5,7,19,91,48,173,143,1627,0,0,12,12,9,12,25,23,16,60,10,44,438,35,98.07291667,300.7187802,15.44444444,1627,154.8666667,10.02733813,0.095185413
9937,14.706,360.11646,"w/o MS2:N-(2,6-difluorobenzyl)-2-(2-hydroxy-5-oxo-4,5-dihydro-3H-benzo[e][1,4]diazepin-3-yl)acetamide",[M+H]+,,,,,0.033,TRUE,4.88,360.12,C18H15F2N3O3,"1,4-benzodiazepines",AEPCMDRTWXAGAK-UHFFFAOYSA-N,O=C1NC(C(O)=NC=2C=CC=CC12)CC(=O)NCC=3C(F)=CC=CC3F,530,TRUE,TRUE,FALSE,,FALSE,FALSE,null,null,60.6,99.5,null,null,null,14.34,Sample 1_Newport,360.11646:2702 361.11981:1493 362.12317:1402,41.03822:96 43.05413:51 46.06419:127 55.93433:74 65.03946:20 67.05509:40 70.9796:71 72.08894:20 74.94785:20 84.043:46 86.04932:44 86.06295:93 88.52298:20 91.05319:105 93.07109:42 95.08722:39 97.98119:83 98.98147:115 102.94692:20 105.06977:101 109.97958:57 112.07174:69 112.08315:20 117.05799:44 118.04037:20 123.9751:67 125.97909:20 128.05899:86 129.06749:26 129.59554:20 131.08403:111 136.12801:20 137.98694:52 140.9949:49 141.06937:86 143.08228:63 143.0858:226 145.09885:145 153.99953:34 154.04086:53 155.08455:46 157.10019:57 159.1165:41 160.11273:20 162.04845:20 168.02058:20 169.10033:40 171.1138:20 175.1441:31 176.98979:40 180.01953:37 196.09259:44 205.09604:24 208.05826:21 212.0119:22 228.03886:21 233.1274:24 233.17825:21 238.10577:32 247.00571:21 252.1107:21 256.16769:25 268.29703:36 275.17902:43 278.11823:21 280.14594:134 280.15579:37 289.13443:26 289.15106:21 292.16379:42 294.59158:21 300.11505:68 304.14185:52 304.15381:110 306.13358:30 306.14557:21 324.14362:23 324.15775:21 329.00458:21 360.21722:58 360.23022:147 360.36597:55,55,12,6,21,10,17,5,11,29,25,10,326,224,327,222,2702,38,142,80,68,11,0,81,56,252,12,161,128,124,8,172.0708333,487.5959537,18.44444444,2702,257.5333333,13.9626506,0.095312114
2343,6.744,217.99989,Unknown,[M+H]+,,,,ion correlated with 2264,0.033,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,51.37,Sample 1_Newport,217.99989:4480 219.00324:0 220.0066:0,,47,17,22,21,27,29,10,18,17,30,19,281,342,367,203,4480,450,655,151,17,25,6,83,0,341,69,112,26,93,58,267.1583333,811.8393638,23.11111111,4480,437.7333333,18.94038462,0.097708333
