Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,MSMS match,RT match?,Comments,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,Blank 1,Blank 2,Blank 3,Blank 3,Blank 4,Blank 5,Blank 6,Blank 7,Blank 8,ISTDs Mix 1,ISTDs Mix 1,QC 1,QC 2,QC 3,QC 4,Sample 1,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,1,1,average blank,average ext. blank,average sample,blank sub,ext blank sub
0,0.048,59.98577,Unknown,[M-H]-,,,,,0.333,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,5009.7,Sample 10,59.98499:15416 60.98834:2038 61.9917:2279,59.79421:23 59.79876:10 59.98523:8850 60.24646:5 60.33469:5,0,9033,0,0,146,253,0,288,112,25340,25340,228,9628,424,17046,0,15416,384,35756,34912,117,10246,0,0,0,0,0,1639,392,10853,6585.141667,10842.75159,1092.444444,0,7314.333333,6.695382425,#DIV/0!
1,0.115,59.98617,Unknown,[M-H]-,,,,,0.367,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,9794.35,QC 2,59.98598:17047 60.98933:2246 61.99269:1924,57.68444:2,0,73856,270,25,384,242,40127,0,249,152,535,38948,17047,41967,16512,35822,14046,89,38396,105,414,245,0,0,0,0,0,37280,518,41442,13289.10208,20061.49091,12794.77778,35822,11223.8,0.877217267,0.313321423
2,0.161,61.98752,Unknown,[M-H]-,,,,,0.033,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,18.42,Sample 7,61.98752:9012 62.99087:0 63.99423:0,,6101,6221,8841,7732,6582,7913,6534,6616,6818,9057,7193,7194,7040,8598,7137,6587,6882,5871,8181,6491,6158,6576,7508,6798,6745,7119,8198,9012,7016,6817,7184.5625,880.8272974,7039.777778,6587,7063.933333,1.003431295,1.072405243
3,0.924,61.98767,Unknown,[M-H]-,,,,,0.2,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,9.67,Sample 5,61.98767:11428 62.99102:20 63.99438:74,,9931,13417,13425,13469,11432,15221,12835,13230,13069,19658,19275,8586,9783,10270,9270,11263,9131,8171,10562,10764,9249,9723,10010,10509,10542,11428,9377,9373,9650,10429,11435.03958,2777.493405,12892.11111,11263,10012.06667,0.776604125,0.888934269
4,1.689,61.98845,Unknown,[M-H]-,,,,found in higher mz's MsMs_544; found in higher mz's MsMs_296; found in higher mz's MsMs_262,0.267,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,41.2,Sample 5,61.98845:46837 62.9918:120 63.99516:268,,4648,5595,5873,5518,6237,6231,5603,5769,5983,6684,6288,18890,18759,19412,18265,8655,14382,11014,16661,17240,10403,19110,15907,20709,22495,46837,15322,30674,17678,19282,14203.95833,9171.87954,5717.444444,8655,19091.26667,3.339125872,2.205807818
5,5.965,68.99418,w/o MS2:Propiolate,[M-H]-,,,,,0.033,FALSE,null,69,C3H2O2,Carboxylic acids,UORVCLMRJXCDCP-UHFFFAOYSA-N,C#CC(O)=O,530,TRUE,TRUE,FALSE,,FALSE,FALSE,null,null,84.4,null,null,null,null,8.74,Sample 14,68.99418:1722 69.99753:0 71.00089:0,,947,166,165,423,420,208,158,179,126,106,183,180,158,180,173,169,156,401,223,184,1722,304,156,177,156,158,223,165,342,145,281.79375,315.2184306,310.2222222,169,312.0666667,1.005945559,1.846548323
6,4.742,68.99449,w/o MS2:Propiolate,[M-H]-,,,,,0.033,FALSE,null,69,C3H2O2,Carboxylic acids,UORVCLMRJXCDCP-UHFFFAOYSA-N,C#CC(O)=O,530,TRUE,TRUE,FALSE,,FALSE,FALSE,null,null,85.9,null,null,null,null,14.89,Blank 4,68.99449:1663 69.99784:0 71.0012:0,,1096,317,289,424,1663,273,333,264,267,219,243,242,252,282,293,336,243,543,261,236,566,475,263,329,236,278,287,304,435,348,386.5833333,293.6502327,547.3333333,336,342.6666667,0.626065773,1.01984127
7,15.297,68.99459,w/o MS2:Propiolate,[M-H]-,,,,found in higher mz's MsMs_109,0.033,FALSE,null,69,C3H2O2,Carboxylic acids,UORVCLMRJXCDCP-UHFFFAOYSA-N,C#CC(O)=O,530,TRUE,TRUE,FALSE,,FALSE,FALSE,null,null,86.4,null,null,null,null,8.11,Blank 1,68.99459:3659 69.99794:0 71.0013:0,,3659,1759,255,357,192,153,153,189,104,155,141,152,182,208,135,196,152,233,167,157,775,126,178,180,179,140,152,137,345,148,368.6895833,694.0935588,757.8888889,196,217.6666667,0.28720129,1.110544218
8,19.968,68.99463,w/o MS2:Propiolate,[M-H]-,,,,,0.033,FALSE,null,69,C3H2O2,Carboxylic acids,UORVCLMRJXCDCP-UHFFFAOYSA-N,C#CC(O)=O,530,TRUE,TRUE,FALSE,,FALSE,FALSE,null,null,86.6,null,null,null,null,4.11,Blank 1,68.99463:2329 69.99798:0 71.00134:20,,2329,126,217,234,344,329,245,181,210,126,129,162,245,171,279,166,200,377,244,187,168,196,175,226,215,187,195,323,425,260,295.7479167,390.9928115,468.3333333,166,236.2666667,0.504483986,1.423293173
9,23.34,68.99464,w/o MS2:Propiolate,[M-H]-,,,,ion correlated with 22,0.033,FALSE,null,69,C3H2O2,Carboxylic acids,UORVCLMRJXCDCP-UHFFFAOYSA-N,C#CC(O)=O,530,TRUE,TRUE,FALSE,,FALSE,FALSE,null,null,86.6,null,null,null,null,6.57,Blank 1,68.99464:3266 69.99799:20 71.00135:100,,3266,170,192,290,521,195,265,180,173,210,205,181,223,206,260,470,222,255,209,282,1019,242,304,276,200,243,208,242,379,200,376.225,569.2059996,583.5555556,470,316.7333333,0.542764661,0.673900709
10,16.959,68.99465,w/o MS2:Propiolate,[M-H]-,,,,ion correlated with 16,0.033,FALSE,null,69,C3H2O2,Carboxylic acids,UORVCLMRJXCDCP-UHFFFAOYSA-N,C#CC(O)=O,530,TRUE,TRUE,FALSE,,FALSE,FALSE,null,null,86.7,null,null,null,null,3.72,Blank 1,68.99465:2213 69.998:0 71.00136:0,,2213,167,154,276,250,225,171,112,176,179,167,178,179,212,252,173,238,183,182,187,636,224,187,197,256,284,220,200,305,216,286.6520833,374.6293095,416,173,245.8666667,0.591025641,1.421194605
11,22.628,68.99466,w/o MS2:Propiolate,[M-H]-,,,,,0.033,FALSE,null,69,C3H2O2,Carboxylic acids,UORVCLMRJXCDCP-UHFFFAOYSA-N,C#CC(O)=O,530,TRUE,TRUE,FALSE,,FALSE,FALSE,null,null,86.7,null,null,null,null,8.16,Blank 1,68.99466:3764 69.99801:0 71.00137:180,,3764,264,190,278,339,450,274,215,173,180,186,192,174,271,279,238,245,292,276,303,233,210,290,282,176,241,231,241,280,291,368.5916667,643.9823536,660.7777778,238,255.2666667,0.386312426,1.07254902
