Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,MSMS match,RT match?,Comments,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,Blank 1,Blank 2,Blank 3,Blank 3,Blank 4,Blank 5,Blank 6,Blank 7,Blank 8,ISTDs Mix 1,ISTDs Mix 1,QC 1,QC 2,QC 3,QC 4,Sample 1,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,1,1,average blank,average ext. blank,average sample,blank sub,ext blank sub
1,0.586,68.98049,Unknown,[M+Na]+,,,,ion correlated with 105; ion correlated with 47; ion correlated with 1091; ion correlated with 86; similar chromatogram in higher mz_3; found in higher mz's MsMs_43; found in higher mz's MsMs_811; similar chromatogram in higher mz_767; found in higher mz's MsMs_767; similar chromatogram in higher mz_2959; similar chromatogram in higher mz_3798; similar chromatogram in higher mz_216; found in higher mz's MsMs_2157; found in higher mz's MsMs_105; adduct linked to 86_[2M+NH4]+; similar chromatogram in higher mz_2; similar chromatogram in higher mz_47; similar chromatogram in higher mz_199; similar chromatogram in higher mz_270; similar chromatogram in higher mz_277; similar chromatogram in higher mz_1323; similar chromatogram in higher mz_1956; similar chromatogram in higher mz_2530; similar chromatogram in higher mz_2821; similar chromatogram in higher mz_6900; similar chromatogram in higher mz_8501; found in higher mz's MsMs_1137; found in higher mz's MsMs_846; found in higher mz's MsMs_270; found in higher mz's MsMs_86; found in higher mz's MsMs_493; similar chromatogram in higher mz_178; similar chromatogram in higher mz_5373; found in higher mz's MsMs_277; found in higher mz's MsMs_1542; similar chromatogram in higher mz_8807; found in higher mz's MsMs_1585,0.5,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,25.91,QC 1,68.98158:3745 69.98493:611 70.98829:2667,41.02519:20 42.03394:45 69.03825:65 69.04475:112,397,380,467,317,395,342,347,349,407,453,410,3745,3904,4166,3942,655,2742,5384,12236,2078,4000,3174,519,462,1824,3682,3350,3716,3439,2603,2329.414583,2485.029057,377.8888889,655,3745.384615,9.911338294,5.718144451
2,0.589,70.97823,Unknown,[M+H]+,,,,ion correlated with 8182; ion correlated with 2359; similar chromatogram in higher mz_430; similar chromatogram in higher mz_1809; similar chromatogram in higher mz_2959; similar chromatogram in higher mz_3070; found in higher mz's MsMs_1137; adduct linked to 455_[2M+Na]+; found in higher mz's MsMs_1585,0.467,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,20.34,Sample 12,70.97823:3697 71.98158:80 72.98494:23,,217,150,227,229,173,214,216,212,155,155,86,1889,1545,1580,1694,341,1668,1983,3697,1070,2263,1625,304,298,990,1658,1302,1542,1233,1743,1015.34375,885.4460422,199.2222222,341,1620.923077,8.136256382,4.753440108
3,0.587,84.95904,Unknown,[M+H]+,,,,ion correlated with 1368; found in higher mz's MsMs_9615; found in higher mz's MsMs_9248; found in higher mz's MsMs_8182; found in higher mz's MsMs_6900; found in higher mz's MsMs_6204; found in higher mz's MsMs_5399; found in higher mz's MsMs_4607; found in higher mz's MsMs_3573; found in higher mz's MsMs_2821; found in higher mz's MsMs_2359; found in higher mz's MsMs_2157; found in higher mz's MsMs_1439; found in higher mz's MsMs_1368; found in higher mz's MsMs_1323; found in higher mz's MsMs_1137; found in higher mz's MsMs_1098; found in higher mz's MsMs_1047; found in higher mz's MsMs_846; found in higher mz's MsMs_811; found in higher mz's MsMs_767; found in higher mz's MsMs_270; found in higher mz's MsMs_3890; found in higher mz's MsMs_493; found in higher mz's MsMs_2959; found in higher mz's MsMs_3798; found in higher mz's MsMs_216; found in higher mz's MsMs_1809; found in higher mz's MsMs_1868; found in higher mz's MsMs_810; found in higher mz's MsMs_5373; found in higher mz's MsMs_2005; found in higher mz's MsMs_277; found in higher mz's MsMs_903; found in higher mz's MsMs_5182; found in higher mz's MsMs_3340; found in higher mz's MsMs_7455; found in higher mz's MsMs_1542; found in higher mz's MsMs_1585,0.533,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,72.3,QC 2,84.9592:21716 85.96255:260 86.96591:279,40.96905:2473 56.96518:108 84.9593:122,2999,3047,3774,3493,3520,3269,2871,3460,3660,1930,3341,23386,21716,22696,22328,6466,24139,26520,33917,16894,30379,23190,7229,5629,13211,22228,24492,24721,20413,23236,14271.86042,10475.41193,3343.666667,6466,22228.38462,6.647906873,3.43773347
6,0.584,86.99173,Unknown,[M+Na]+,,,,ion correlated with 2281; ion correlated with 187; ion correlated with 2359; adduct linked to 174_[2M+H]+; found in higher mz's MsMs_1542,0.367,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,21.59,Sample 15,86.99354:1240 87.99689:139 89.00025:231,40.96925:211 40.98932:42 41.95764:220 42.96551:238 43.01753:42 45.03226:45 55.93072:68 57.93513:24 58.96035:64 68.98272:297 71.16218:20,81,80,109,87,141,158,98,151,125,71,123,1391,1267,1505,1386,123,837,1942,4057,716,1616,1240,152,159,658,1279,1086,1502,1185,1022,811.5375,865.4744112,114.4444444,123,1330.692308,11.62740851,10.81863665
7,0.654,90.97629,Unknown,[M+Na]+,,,,ion correlated with 13048; ion correlated with 1194; ion correlated with 5127; ion correlated with 9856; ion correlated with 9198; found in higher mz's MsMs_1659; found in higher mz's MsMs_4231; found in higher mz's MsMs_9629; found in higher mz's MsMs_7656; adduct linked to 414_[2M+Na]+; found in higher mz's MsMs_414; found in higher mz's MsMs_9514; found in higher mz's MsMs_1491; found in higher mz's MsMs_11908; similar chromatogram in higher mz_11101; found in higher mz's MsMs_11101; found in higher mz's MsMs_12655; found in higher mz's MsMs_11010; similar chromatogram in higher mz_13342; found in higher mz's MsMs_13342; similar chromatogram in higher mz_13507; found in higher mz's MsMs_12598; similar chromatogram in higher mz_1194; similar chromatogram in higher mz_10773; found in higher mz's MsMs_8260; similar chromatogram in higher mz_9198; similar chromatogram in higher mz_5127; similar chromatogram in higher mz_6886; similar chromatogram in higher mz_11010; similar chromatogram in higher mz_11838; similar chromatogram in higher mz_12598; similar chromatogram in higher mz_13048; similar chromatogram in higher mz_13556; found in higher mz's MsMs_13077; found in higher mz's MsMs_3444; found in higher mz's MsMs_9856,0.133,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,13.36,Sample 15,90.97596:1245 91.97931:0 92.98267:0,40.98744:53 45.01386:38 45.03161:29 47.04673:24 53.00097:10 55.93439:710 57.05498:10 59.92934:25 60.52:10 63.02044:29 65.03875:78 72.93066:82 72.93736:1082 74.71576:10 91.05332:43,5,12,6,15,5,5,5,9,8,5,21,841,895,990,1041,216,477,732,582,670,655,1245,270,1555,1325,1122,1333,1001,500,1077,554.0958333,513.0399757,7.777777778,216,944.1538462,121.3912088,4.371082621
9,9.071,95.08381,Unknown,[M+H]+,,,,ion correlated with 3838; found in higher mz's MsMs_1717; found in higher mz's MsMs_912; adduct linked to 1296_[2M+Na]+; found in higher mz's MsMs_1296; found in higher mz's MsMs_647; found in higher mz's MsMs_1297; similar chromatogram in higher mz_330; similar chromatogram in higher mz_1925,0.367,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,19.37,Sample 14,95.08381:4135 96.08716:49 97.09052:1562,,491,193,141,131,1102,1296,440,2546,264,2428,2428,156,3128,1392,3166,265,3032,3443,3199,1155,4135,2899,202,2573,3121,2882,3147,744,3346,2820,1875.477083,1319.548447,733.7777778,265,2807.384615,3.825933001,10.59390421
24,9.079,97.10174,w/o MS2:Unknown (carbon number 7); PlaSMA ID-13,[M+H]+,,,,adduct linked to 114_[M+Na]+,0.167,FALSE,4.79,97.1022,C7H12,Unknown,,,530,TRUE,TRUE,FALSE,,FALSE,FALSE,null,null,99.9,99.9,null,null,null,9.6,Sample 8,97.10174:1337 98.10509:0 99.10845:0,,135,19,0,14,93,120,48,773,170,22,889,28,1133,223,966,20,527,1125,1159,996,1305,1110,5,984,1049,437,930,215,1337,1004,561.2145833,493.4925231,152.4444444,20,936.7692308,6.144987665,46.83846154
43,0.584,101.00838,Unknown,[M+NH4]+,,,,ion correlated with 1047; adduct linked to 855_[2M+Na]+,0.533,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,48.99,QC 1,101.00781:18232 102.01116:2943 103.01452:3312,40.98753:334 43.01764:100 45.03236:56 53.94301:20 55.00288:129 55.05592:90 55.93304:150 56.94269:167 56.96487:117 59.93098:121 68.98206:2518 70.94435:27 72.93751:121 86.9954:21 96.98728:57,1368,1479,1880,1630,1447,1716,1571,1747,1844,1782,1755,18232,16655,19181,18076,2571,11548,27026,56724,9658,18714,16565,2534,2076,8241,18183,13930,16369,14589,13624,10757.11458,11654.54621,1631.333333,2571,17480.53846,10.7154915,6.799120366
45,8.496,102.0893,w/o MS2:Betaine-Aldehyde; LC-ESI-QQ; MS2; CE,[M+H]+,,,,found in higher mz's MsMs_409; similar chromatogram in higher mz_2120; similar chromatogram in higher mz_1636,0.033,FALSE,null,102.09079,C5H12NO,Tetraalkylammonium salts,SXKNCCSPZDCRFD-UHFFFAOYSA-N,C[N+](C)(C)CC=O,530,TRUE,TRUE,FALSE,,FALSE,FALSE,null,null,98.9,null,null,null,null,12.33,Sample 15,102.0893:1356 103.09265:40 104.09601:0,,57,5,32,5,514,196,15,457,5,5,309,15,589,667,20,9,607,517,610,76,114,1356,0,603,518,644,635,10,640,639,328.9375,336.8585003,142.8888889,9,536.0769231,3.751704749,59.56410256
46,0.596,102.97099,Unknown,[M+H]+,,,,ion correlated with 846; ion correlated with 3070; ion correlated with 1418; ion correlated with 7133; ion correlated with 9383,0.033,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,5.89,Sample 6,102.97099:1577 103.97434:85 104.9777:1034,,181,221,264,282,279,237,258,254,242,181,160,1396,1142,1506,1440,330,1359,1494,1951,1178,1661,1460,454,365,827,1162,1577,1282,1070,1457,855.6375,595.6038741,246.4444444,330,1295.615385,5.257231047,3.926107226
